"","incidentid","date","statuslabel","status2","state","latitude","longitude","agencytypelabel","agencytype2","sources"
"1",1586139,2020-01-01,"Nonfatal",2,"Louisiana",30.4075,-92.0526,"Local",1,"https://kadn.com/officer-involved-shooting-in-grand-coteau/ ,https://kadn.com/suspect-to-be-charged-with-attempted-first-degree-murder-in-grand-coteau-officer-involved-shooting/"
"2",1586651,2020-01-01,"Nonfatal",2,"Virginia",36.6448,-79.8752,"Local",1,"https://www.wdbj7.com/content/news/Large-police-presence--566641601.html ,https://www.nbc12.com/2020/01/02/officer-suspect-shot-near-virginia-apartment-complex/,https://www.wvnstv.com/news/local-news/martinsville-officer-and-suspect-airlifted-to-hospitals-after-police-chase-shootout/ ,https://www.wdbj7.com/content/news/Large-police-presence--566641601.html,https://www.wfxrtv.com/news/local-news/martinsville-police-involved-in-officer-shooting-on-jan-1-assigned-to-administrative-duty/"
"3",1588823,2020-01-05,"Fatal",1,"South Carolina",34.1932,-79.7282,"Local",1,"https://www.kiro7.com/news/trending/officer-involved-shooting-incident-south-carolina-regional-airport-police-say/Z2WTWRNTTFEPXBJJDRQRNU6LHY/ ,https://www.wistv.com/2020/01/05/sled-investigating-an-officer-involved-shooting-florence/ ,https://abcnews4.com/news/local/warrants-airport-police-officers-gun-found-on-suspect-after-killing"
"4",1590678,2020-01-06,"Nonfatal",2,"Minnesota",44.0761,-93.4947,"Local",1,"https://www.kcci.com/article/southern-minnesota-officer-shot-in-the-head-gravely-injured/30431361 ,https://www.kimt.com/content/news/Southern-Minnesota-police-officer-air-lifted-after-being-shot-566773521.html ,https://minnesota.cbslocal.com/2020/01/07/bca-officer-suspect-hospitalized-following-shooting-in-waseca/"
"5",1591029,2020-01-06,"Nonfatal",2,"Arizona",33.4552,-112.076,"Local",1,"https://www.abc15.com/news/region-phoenix-metro/central-phoenix/authorities-investigating-police-shooting-in-downtown-phoenix ,https://www.azcentral.com/videos/news/local/phoenix/2020/03/05/body-camera-footage-shows-officers-firing-xavier-rovie-dozen-times-after-he-shot-officer/4965240002/,https://www.12news.com/article/news/crime/ois-phoenix/75-1245d80a-6312-4e2e-ba51-ac7b2dfbe1a8"
"6",1592755,2020-01-09,"Nonfatal",2,"Tennessee",35.1805,-85.2664,"State",3,"https://wdef.com/2020/01/09/highway-27-shut-police-chase/ ,https://newschannel9.com/news/local/incident-shuts-down-highway-27-between-signal-mountain-rd-and-highway-153 ,https://www.timesfreepress.com/news/breakingnews/story/2020/jan/09/tennessee-highway-patrol-officer-shot-during-car-chase-us-highway-27/512629/,https://www.wrcbtv.com/story/41545022/update-suspects-in-hwy-27-chase-shootout-with-thp-troopers-bound-over,https://www.tennessean.com/story/news/2020/04/17/new-information-shows-what-prompted-january-police-shooting-chattanooga/5152038002/"
"7",1593649,2020-01-11,"Nonfatal",2,"Kentucky",37.0444,-83.4089,"Sheriff",2,"https://www.wkyt.com/content/news/Deputy-flown-to-hospital-after-shooting-in-Leslie-County-566905531.html ,https://www.nolangroupmedia.com/manchester_enterprise/clay-man-arrested-at-scene-of-deputy-shooting/article_cc5689d2-363b-11ea-b01d-ff07ab7a5391.html"
"8",1594347,2020-01-11,"Nonfatal",2,"Colorado",38.8471,-104.772,"Local",1,"https://www.thedenverchannel.com/news/colorado-springs-area/colorado-springs-officer-injured-in-shooting-during-traffic-stop-police-say ,https://www.kktv.com/content/news/Suspect-still-on-the-run-after-shooting-at-Springs-police-officers-566921871.html ,https://denver.cbslocal.com/2020/01/14/beau-becker-colorado-springs-randy-bishop/ ,https://www.fox21news.com/news/crime/randy-bishop-arrested-sunday-faces-16-charges-in-4-cases/"
"9",1594740,2020-01-11,"Nonfatal",2,"Texas",32.6374,-96.8422,"Special",4,"https://www.wfaa.com/article/news/local/child-in-critical-condition-after-being-shot-in-the-chest-dallas-police-say/287-c0b74b7b-14c8-4a7b-a2b3-09488e1a347e ,https://www.nbcdfw.com/news/local/juvenile-shot-inside-gym-at-basketball-game/2290801/,https://dfw.cbslocal.com/2020/01/12/dallas-isd-officer-grazed-by-bullet-at-high-school-basketball-game/,https://dfw.cbslocal.com/2020/01/18/teen-shot-at-high-school-basketball-game-dies-suspects-charges-upgraded-to-murder/"
"10",1595552,2020-01-13,"Nonfatal",2,"Indiana",41.597,-87.3702,"Local",1,"https://www.chicagotribune.com/suburbs/post-tribune/ct-ptb-gary-police-shooting-st-0114-20200114-yl6kxr5w25etzezgorjetow3we-story.html#nt=oft-Double%20Chain~Recommender~top-news-curated-chain~more-top-news-rec~~5~no-art~automated~curatedpage , https://www.nwitimes.com/news/local/crime-and-courts/update-woman-found-strangled-to-death-was-loving-mother-grandmother/article_6a2c0a0c-da9b-53f5-9ac9-9374cee345d6.html#tracking-source=home-top-story"
"11",1595552,2020-01-13,"Nonfatal",2,"Indiana",41.597,-87.3702,"Local",1,"https://www.chicagotribune.com/suburbs/post-tribune/ct-ptb-gary-police-shooting-st-0114-20200114-yl6kxr5w25etzezgorjetow3we-story.html#nt=oft-Double%20Chain~Recommender~top-news-curated-chain~more-top-news-rec~~5~no-art~automated~curatedpage,https://www.nwitimes.com/news/local/crime-and-courts/update-woman-found-strangled-to-death-was-loving-mother-grandmother/article_6a2c0a0c-da9b-53f5-9ac9-9374cee345d6.html#tracking-source=home-top-story"
"12",1596118,2020-01-12,"Nonfatal",2,"Missouri",37.1464,-94.3099,"State",3,"https://www.fourstateshomepage.com/news/joplin-news-first/man-dead-in-carthage-after-exchange-of-gunfire-with-officers/ ,https://www.ky3.com/content/news/Man-dies-in-shooting-after-police-chase-in-Carthage-Mo-566948061.html"
"13",1597629,2020-01-15,"Nonfatal",2,"Texas",32.6631,-97.2703,"Local",1,"https://www.dallasnews.com/news/2020/01/15/forest-hill-officer-hurt-suspect-dead-after-stealing-squad-car-police-say/ ,https://www.star-telegram.com/news/local/crime/article239364648.html"
