stateid,state,boundsstring,x1,y1,x2,y2
1,Alabama,"-88.474595,30.222501,-84.89248,35.008323",-88.474595,30.222501,-84.89248,35.008323
2,Alaska,"-179.136572,51.229088,179.774881,71.352561",-179.136572,51.214183,-129.774881,71.365162
60,American Samoa,"-170.845303,-14.373865,-169.423943,-14.157382",-170.845303,-14.373865,-169.423943,-14.157382
4,Arizona,"-114.812834,31.332406,-109.044839,37.003918",-114.812834,31.332406,-109.044839,37.003918
5,Arkansas,"-94.619466,33.004136,-89.655473,36.49965",-94.619466,33.004136,-89.655473,36.49965
6,California,"-124.410607,32.534231,-114.134458,42.009659",-124.410607,32.534231,-114.134458,42.009659
8,Colorado,"-109.059196,36.992751,-102.042126,41.001982",-109.059196,36.992751,-102.042126,41.001982
9,Connecticut,"-73.726186,40.984801,-71.787967,42.050894",-73.726186,40.984801,-71.787967,42.050894
10,Delaware,"-75.79003,38.451434,-75.050636,39.838815",-75.79003,38.451434,-75.050636,39.838815
11,District of Columbia,"-77.118069,38.791622,-76.90989,38.99436",-77.118069,38.791622,-76.90989,38.99436
12,Florida,"-87.6347,24.514909,-80.032576,31.000809",-87.6347,24.514909,-80.032576,31.000809
13,Georgia,"-85.606749,30.359092,-80.843756,35.000591",-85.606749,30.359092,-80.843756,35.000591
66,Guam,"144.621335,13.245764,144.958729,13.652099",144.621335,13.245764,144.958729,13.652099
15,Hawaii,"-160.249707,18.917276,-154.808337,22.232387",-160.249707,18.917276,-154.808337,22.232387
16,Idaho,"-117.242787,41.988183,-111.044076,49.000687",-117.242787,41.988183,-111.044076,49.000687
17,Illinois,"-91.514727,36.970415,-87.494718,42.508773",-91.514727,36.970415,-87.494718,42.508773
18,Indiana,"-88.097719,37.771918,-84.784801,41.760532",-88.097719,37.771918,-84.784801,41.760532
19,Iowa,"-96.63306,40.378305,-90.140028,43.500128",-96.63306,40.378305,-90.140028,43.500128
20,Kansas,"-102.052894,36.992751,-94.590752,40.002896",-102.052894,36.992751,-94.590752,40.002896
21,Kentucky,"-89.572919,36.497073,-81.967205,39.146413",-89.572919,36.497073,-81.967205,39.146413
22,Louisiana,"-94.04159,28.929616,-88.815578,33.019599",-94.04159,28.929616,-88.815578,33.019599
23,Maine,"-71.084466,43.05943,-66.981903,47.459534",-71.084466,43.05943,-66.981903,47.459534
24,Maryland,"-79.487003,37.917099,-75.050636,39.722842",-79.487003,37.917099,-75.050636,39.722842
25,Massachusetts,"-73.507239,41.239083,-69.928713,42.886759",-73.507239,41.239083,-69.928713,42.886759
26,Michigan,"-90.416403,41.696102,-82.415867,48.190594",-90.416403,41.696102,-82.415867,48.190594
27,Minnesota,"-97.239651,43.499269,-89.490365,49.384687",-97.239651,43.499269,-89.490365,49.384687
28,Mississippi,"-91.643942,30.180407,-88.097719,34.995437",-91.643942,30.180407,-88.097719,34.995437
29,Missouri,"-95.768041,35.995382,-89.099132,40.613687",-95.768041,35.995382,-89.099132,40.613687
30,Montana,"-116.051141,44.358328,-104.041363,49.001546",-116.051141,44.358328,-104.041363,49.001546
31,Nebraska,"-104.052131,40.000319,-95.308611,43.001014",-104.052131,40.000319,-95.308611,43.001014
32,Nevada,"-120.006543,35.00145,-114.041136,42.001928",-120.006543,35.00145,-114.041136,42.001928
33,New Hampshire,"-72.556076,42.696907,-70.704001,45.305871",-72.556076,42.696907,-70.704001,45.305871
34,New Jersey,"-75.560315,38.928212,-73.894883,41.357633",-75.560315,38.928212,-73.894883,41.357633
35,New Mexico,"-109.048428,31.332406,-103.000468,37.000482",-109.048428,31.332406,-103.000468,37.000482
36,New York,"-79.763379,40.502009,-71.856164,45.015509",-79.763379,40.502009,-71.856164,45.015509
37,North Carolina,"-84.321782,33.851169,-75.459815,36.588133",-84.321782,33.851169,-75.459815,36.588133
