IncidentID,Date,State,Cityorcounty,BusinessorLocation,Address,Latitude,Longitude,Name,Type,Gender,Age,Agegoup,Status,Incidentcharacteristics,Sources,notactiveswornlocalstate,rank,agencytype,offduty,training,blueonblue,Error,ErrorDetail,ToRemove,type_new,Notes,Duplicate,duplicate_of,record_added,incident_id_changed,original_id,Businessorschool,Participantname,Agegroup,duplicate_to_delete,to_be_edited,_merge
1586139,1/1/20,Louisiana,Grand Coteau,,LA-182,30.4075,-92.0526,Kiara Harris,victim,female,,Adult 18+,Injured,"Shot - Wounded/Injured,Officer Involved Incident,Officer Involved Shooting - Officer shot,Possession of gun by felon or prohibited person","https://kadn.com/officer-involved-shooting-in-grand-coteau/ ,https://kadn.com/suspect-to-be-charged-with-attempted-first-degree-murder-in-grand-coteau-officer-involved-shooting/ ",0,Officer,Local,0,0,0,0,NA,0,Suspect-inflicted,"Local Officer was non-fatally shot in the arm during a traffic stop. More info: https://www.klfy.com/local/grand-coteau-officer-shot-at-during-traffic-stop/,https://www.katc.com/news/st-landry-parish/grand-coteau-police-officer-shot-during-traffic-stop",0,NA,0,0,,,,,,,1
1586651,1/1/20,Virginia,Martinsville,,Theatre St and Joseph Martin Hwy,36.6448,-79.8752,Michael Panos,victim,male,,Adult 18+,Injured,"Shot - Wounded/Injured,Officer Involved Incident,Officer Involved Shooting - Officer shot,Officer Involved Shooting - subject/suspect/perpetrator shot,Possession of gun by felon or prohibited person","https://www.wdbj7.com/content/news/Large-police-presence--566641601.html ,https://www.nbc12.com/2020/01/02/officer-suspect-shot-near-virginia-apartment-complex/,https://www.wvnstv.com/news/local-news/martinsville-officer-and-suspect-airlifted-to-hospitals-after-police-chase-shootout/ ,https://www.wdbj7.com/content/news/Large-police-presence--566641601.html,https://www.wfxrtv.com/news/local-news/martinsville-police-involved-in-officer-shooting-on-jan-1-assigned-to-administrative-duty/ ",0,Officer,Local,0,0,0,0,NA,0,Suspect-inflicted,Local Officer was non-fatally shot in the arm by suspect during a pursuit. The suspect was non-fatally shot.,0,NA,0,0,,,,,,,1
1588823,1/5/20,South Carolina,Florence,Florence Regional Airport,2100 Terminal Dr,34.1932,-79.7282,Officer Jackson Ryan Winkeler,victim,male,26,Adult 18+,Killed,"Shot - Dead (murder, accidental, suicide),Officer Involved Incident,Officer Involved Shooting - Officer killed,Police Targeted,Guns stolen from law enforcement,Stolen/Illegally owned gun{s} recovered during arrest/warrant","https://www.kiro7.com/news/trending/officer-involved-shooting-incident-south-carolina-regional-airport-police-say/Z2WTWRNTTFEPXBJJDRQRNU6LHY/ ,https://www.wistv.com/2020/01/05/sled-investigating-an-officer-involved-shooting-florence/ ,https://abcnews4.com/news/local/warrants-airport-police-officers-gun-found-on-suspect-after-killing ",0,Officer,Local,0,0,0,0,NA,0,Suspect-inflicted,Local Officer was fatally shot by suspect during a traffic stop.,0,NA,0,0,,,,,,,1
1590678,1/6/20,Minnesota,Waseca,,900 block of 3rd Ave SE,44.0761,-93.4947,Officer Arik Matson,victim,male,32,Adult 18+,Injured,"Shot - Wounded/Injured,Officer Involved Incident,Officer Involved Shooting - Officer shot,Officer Involved Shooting - subject/suspect/perpetrator shot","https://www.kcci.com/article/southern-minnesota-officer-shot-in-the-head-gravely-injured/30431361 ,https://www.kimt.com/content/news/Southern-Minnesota-police-officer-air-lifted-after-being-shot-566773521.html ,https://minnesota.cbslocal.com/2020/01/07/bca-officer-suspect-hospitalized-following-shooting-in-waseca/ ",0,Officer,Local,0,0,0,0,NA,0,Suspect-inflicted,Local Officer was non-fatally shot in the head by suspect. The suspect was non-fatally shot.,0,NA,0,0,,,,,,,1
1591029,1/6/20,Arizona,Phoenix,,1st Ave and Jackson St,33.4552,-112.076,,perpetrator,male,,Adult 18+,Injured,"Shot - Wounded/Injured,Shot - Dead (murder, accidental, suicide),Officer Involved Incident,Officer Involved Shooting - Officer shot,Officer Involved Shooting - subject/suspect/perpetrator killed","https://www.abc15.com/news/region-phoenix-metro/central-phoenix/authorities-investigating-police-shooting-in-downtown-phoenix ,https://www.azcentral.com/videos/news/local/phoenix/2020/03/05/body-camera-footage-shows-officers-firing-xavier-rovie-dozen-times-after-he-shot-officer/4965240002/,https://www.12news.com/article/news/crime/ois-phoenix/75-1245d80a-6312-4e2e-ba51-ac7b2dfbe1a8 ",0,Officer,Local,0,0,0,0,NA,0,Suspect-inflicted,Local Officer was non-fatally shot in the vest by suspect during a chase. The suspect was fatally shot.,0,NA,0,0,,,,,,,1
1592755,1/9/20,Tennessee,Hixson,,840 US-27,35.1805,-85.2664,Trooper Khalat Ghazi,victim,male,,Adult 18+,Injured,"Shot - Wounded/Injured,Officer Involved Incident,Officer Involved Shooting - Officer shot,Officer Involved Shooting - subject/suspect/perpetrator shot,Drug involvement,Assault weapon (AR-15, AK-47, and ALL variants defined by law enforcement)","https://wdef.com/2020/01/09/highway-27-shut-police-chase/ ,https://newschannel9.com/news/local/incident-shuts-down-highway-27-between-signal-mountain-rd-and-highway-153 ,https://www.timesfreepress.com/news/breakingnews/story/2020/jan/09/tennessee-highway-patrol-officer-shot-during-car-chase-us-highway-27/512629/,https://www.wrcbtv.com/story/41545022/update-suspects-in-hwy-27-chase-shootout-with-thp-troopers-bound-over,https://www.tennessean.com/story/news/2020/04/17/new-information-shows-what-prompted-january-police-shooting-chattanooga/5152038002/ ",0,Trooper,State,0,0,0,0,NA,0,Suspect-inflicted,State Trooper was non-fatally shot in the leg by suspect during a car chase. The suspect was non-fatally shot.,0,NA,0,0,,,,,,,1
1593649,1/11/20,Kentucky,Warbranch,,400 block of Middle Fork Rd,37.0444,-83.4089,Deputy Shane Wilson,victim,,,Adult 18+,Injured,"Shot - Wounded/Injured,Officer Involved Incident,Officer Involved Shooting - Officer shot,Officer Involved Shooting - subject/suspect/perpetrator shot","https://www.wkyt.com/content/news/Deputy-flown-to-hospital-after-shooting-in-Leslie-County-566905531.html ,https://www.nolangroupmedia.com/manchester_enterprise/clay-man-arrested-at-scene-of-deputy-shooting/article_cc5689d2-363b-11ea-b01d-ff07ab7a5391.html ",0,Deputy,Sheriff,0,0,0,0,NA,0,Suspect-inflicted,County Deputy was non-fatally shot in the hand by suspect during a traffic spot. The suspect was non-fatally shot.,0,NA,0,0,,,,,,,1
1594347,1/11/20,Colorado,Colorado Springs,,Arrawanna St and Galley Rd,38.8471,-104.772,Beau Becker,victim,male,,Adult 18+,Injured,"Shot - Wounded/Injured,Officer Involved Incident,Officer Involved Shooting - Officer shot,Shootout (where VENN diagram of shooters and victims overlap)","https://www.thedenverchannel.com/news/colorado-springs-area/colorado-springs-officer-injured-in-shooting-during-traffic-stop-police-say ,https://www.kktv.com/content/news/Suspect-still-on-the-run-after-shooting-at-Springs-police-officers-566921871.html ,https://denver.cbslocal.com/2020/01/14/beau-becker-colorado-springs-randy-bishop/ ,https://www.fox21news.com/news/crime/randy-bishop-arrested-sunday-faces-16-charges-in-4-cases/ ",0,Officer,Local,0,0,0,0,NA,0,Suspect-inflicted,Local Officer was non-fatally shot by suspect during a traffic stop.,0,NA,0,0,,,,,,,1
1594740,1/11/20,Texas,Dallas,Ellis Davis Field House,9191 S Polk St,32.6374,-96.8422,,victim,female,,Adult 18+,Injured,"Shot - Wounded/Injured,Shot - Dead (murder, accidental, suicide),Officer Involved Incident,Officer Involved Shooting - Officer shot,School Incident,School Shooting - elementary/secondary school","https://www.wfaa.com/article/news/local/child-in-critical-condition-after-being-shot-in-the-chest-dallas-police-say/287-c0b74b7b-14c8-4a7b-a2b3-09488e1a347e ,https://www.nbcdfw.com/news/local/juvenile-shot-inside-gym-at-basketball-game/2290801/,https://dfw.cbslocal.com/2020/01/12/dallas-isd-officer-grazed-by-bullet-at-high-school-basketball-game/,https://dfw.cbslocal.com/2020/01/18/teen-shot-at-high-school-basketball-game-dies-suspects-charges-upgraded-to-murder/ ",0,Officer,Special (School District),0,0,0,0,NA,0,Suspect-inflicted,Dallas ISD officer was non-fatally grazed by a bullet as a shooting broke out. A civilian was fatally shot by suspect.,0,NA,0,0,,,,,,,1
1595552,1/13/20,Indiana,Gary,Westbrook Apartments,2301 Waverly Dr,41.597,-87.3702,Cpl. James Nielsen,victim,male,,Adult 18+,Injured,"Shot - Wounded/Injured,Shot - Dead (murder, accidental, suicide),Officer Involved Incident,Officer Involved Shooting - Officer shot,Officer Involved Shooting - subject/suspect/perpetrator killed,ATF/LE Confiscation/Raid/Arrest","https://www.chicagotribune.com/suburbs/post-tribune/ct-ptb-gary-police-shooting-st-0114-20200114-yl6kxr5w25etzezgorjetow3we-story.html#nt=oft-Double%20Chain~Recommender~top-news-curated-chain~more-top-news-rec~~5~no-art~automated~curatedpage , https://www.nwitimes.com/news/local/crime-and-courts/update-woman-found-strangled-to-death-was-loving-mother-grandmother/article_6a2c0a0c-da9b-53f5-9ac9-9374cee345d6.html#tracking-source=home-top-story ",0,Corporal,Local,0,0,0,0,NA,0,Suspect-inflicted,Local Corporal was non-fatally shot in the chest and arm by suspect while serving an arrest warrant. A second officer was also non-fatally shot. The suspect was fatally shot. More info: https://chicago.cbslocal.com/2020/01/13/gary-police-shot/,0,NA,0,0,,,,,,,1
